"Distribution (in percentage) of admission categories of immigrants by year of immigration, Canada, 1980 to 2021"
" Other immigrants","1990","0.9"
" Other immigrants","1991","1"
" Other immigrants","1992","1.3"
" Other immigrants","1993","1.9"
" Other immigrants","1994","1.7"
" Other immigrants","1995","0.4"
" Other immigrants","1996","2"
" Other immigrants","1997","1.9"
" Other immigrants","1998","1.8"
" Other immigrants","1999","0.5"
" Other immigrants","2000","0.1"
" Other immigrants","2001","0.1"
" Other immigrants","2002","0.1"
" Other immigrants","2003","0.7"
" Other immigrants","2004","2.4"
" Other immigrants","2005","2.2"
" Other immigrants","2006","2.5"
" Other immigrants","2007","2.6"
" Other immigrants","2008","1.9"
" Other immigrants","2009","1.6"
" Other immigrants","2010","1.3"
" Other immigrants","2011","1.4"
" Other immigrants","2012","1.7"
" Other immigrants","2013","1.5"
" Other immigrants","2014","1.4"
" Other immigrants","2015","1.5"
" Other immigrants","2016","1.2"
" Other immigrants","2017","1.2"
" Other immigrants","2018","1.1"
" Other immigrants","2019","1.5"
" Other immigrants","2020","2.1"
" Other immigrants","2021","2.9"

Symbols:
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.

"Source: Statistics Canada, 2021 Census of Population."

"How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census."
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022."
"http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E"

